"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.153772",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.153945",-0.595274079008549,0.144850544181955,-0.595274079008549,0.722669753651387,0.0559730524509328,0.0582038672123222,-0.595274079008549,0.918899590457487,0.405766691451976,0.0369735152348993,0.0377593013932356,-0.595274079008549,6
"dv.154230",-0.05427059428829,-0.05427059428829,-0.05427059428829,-0.05427059428829,0.596976537171192,-0.05427059428829,-0.05427059428829,-0.05427059428829,-0.05427059428829,-0.05427059428829,-0.05427059428829,-0.05427059428829,6
"dv.154751",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.156078",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.15616",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.157030",-0.273489406140575,-0.273489406140575,0.359613268942531,-0.273489406140575,0.6400155088673,-0.273489406140575,0.229690037329419,0.509193845403334,-0.273489406140575,-0.273489406140575,0.175913182441446,-0.273489406140575,6
"dv.157222",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.16051",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.161368",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.16274",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.163131",-0.48413222748573,0.255992395704775,-0.48413222748573,0.526362675516402,0.167114903973752,0.432452348318353,0.0190472159842643,0.468834249803501,0.101454759545582,-0.48413222748573,-0.0347296389037082,-0.48413222748573,6
"dv.16461",-0.0652236042953258,-0.0652236042953258,-0.0652236042953258,-0.0652236042953258,-0.0652236042953258,-0.0652236042953258,-0.0652236042953258,0.717459647248583,-0.0652236042953258,-0.0652236042953258,-0.0652236042953258,-0.0652236042953258,6
"dv.16651",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.16747",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.16880",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.17545",-0.106538864189515,-0.106538864189515,-0.106538864189515,0.615136758032948,-0.106538864189515,-0.106538864189515,-0.106538864189515,0.450251883862197,-0.106538864189515,-0.106538864189515,-0.106538864189515,-0.106538864189515,6
"dv.17717",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.17776",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.1781",0.270237038358497,-0.379931041247103,-0.237059397459906,0.838912859885887,0.402348841901623,-0.530121862166682,0.236800627049615,-0.645869374910822,-0.308925161785335,0.481655874795648,0.392870584487693,-0.520918988909112,6
"dv.18028",0.427316060583122,-0.136069917711205,-0.136069917711205,-0.136069917711205,-0.136069917711205,-0.136069917711205,-0.136069917711205,-0.136069917711205,-0.136069917711205,-0.136069917711205,0.313332670870817,0.483980527946906,6
"dv.18309",0.467638231183857,-0.0957477471104702,-0.0957477471104702,-0.0957477471104702,-0.0957477471104702,-0.0957477471104702,-0.0957477471104702,-0.0957477471104702,0.489839239920842,-0.0957477471104702,-0.0957477471104702,-0.0957477471104702,6
"dv.18791",-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,0.470188580587692,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,6
